cluster,total_avg_rtt,total_avg_tp,total_avg_tcp
1,71.0,52562.25,1199977.0
0,48.0,100.0,2052212.0
0,90.0,1106.0,44788.0
1,46.0,45271.0,983845.0
1,70.0,25854.5,192905.0
0,115.0,4134.0,127214.0
0,28.0,5641.0,28812.0
1,125.0,24696.0,2982672.0
2,50.0,15.0,7883135.125
0,50.0,120.0,56965.0
0,48.0,2984.0,1326032.25
0,82.0,202.0,40387.0
2,29.0,72.0,7727168.875
0,50.0,95.0,1634628.25
0,27.0,73.0,53531.0
2,106.0,300.0,7744896.875
0,75.0,15938.0,170753.0
2,166.0,276.0,11439579.40625
0,107.0,2751.0,1358683.0
2,50.0,15.0,4846128.0
1,194.5,10364.0,1655523.0
0,106.0,5107.0,1634051.25
1,166.0,18987.5,1333906.0
0,45.0,2068.0,154.0
0,55.0,30.0,16097.0
0,37.0,91.0,97294.0
1,74.0,46459.5,7737872.875
0,58.0,167.0,552948.25
2,110.0,101.0,4840287.0
0,50.0,55.0,82544.0
0,49.0,137.0,73517.0
0,80.0,52.0,1346460.0
0,33.0,126.0,1542426.0
0,36.0,133.0,1613201.0
1,92.0,42476.0,143949.0
0,33.0,81.0,1134375.0
0,28.0,116.0,113852.0
0,29.0,153.0,7705.0
0,51.0,366.0,568420.0
1,194.5,63351.6875,5012496.0
1,194.5,63351.6875,5351045.0
0,36.0,120.0,318.0
0,90.0,227.0,177056.25
0,28.0,71.0,44002.0
0,50.0,15.0,745236.0
2,99.0,183.0,8443193.875
1,45.0,51069.25,1372711.0
0,81.0,2705.0,1867622.0
0,61.0,249.0,420259.25
1,127.0,63351.6875,424332.0
0,50.0,104.0,116143.0
0,79.0,10336.0,589195.0
0,68.0,84.0,1376.0
1,150.0,274.0,72399.0
1,60.0,32133.0,37273.0
0,89.0,90.0,42756.0
0,37.0,160.0,132460.0
0,65.0,20816.0,26473.0
1,80.0,52768.75,1027553.0
0,50.0,15.0,1231846.25
2,41.0,96.0,7766643.875
0,39.0,112.0,1330486.0
0,106.0,395.0,290922.0
0,29.0,144.0,1562070.0
2,76.0,101.0,7715280.875
0,50.0,15.0,63290.0
0,108.0,120.0,132207.0
1,36.0,52768.75,161330.0
1,80.0,51566.25,7723928.875
0,58.0,89.0,211510.0
2,34.0,21.0,7789638.875
1,95.0,17191.0,3628849.0
0,29.0,187.0,68879.0
0,50.0,131.0,36898.0
1,151.0,17453.5,949252.5
1,127.0,4828.0,680436.0
0,40.0,107.0,1528128.0
1,49.0,30204.0,92120.0
1,66.0,23438.0,39493.0
0,22.0,116.0,743419.0
2,50.0,115.0,5891776.25
0,30.0,76.0,578691.0
0,114.0,126.0,60276.0
1,28.0,51567.25,92406.0
0,30.0,114.0,3696.0
2,65.0,2996.5,11439579.40625
0,50.0,104.0,1431449.0
0,49.0,94.0,75409.0
0,61.0,91.0,336053.0
2,76.0,190.0,5186825.0
2,50.0,129.0,7779488.875
0,51.0,230.0,299259.0
2,51.0,2150.0,5232185.25
0,63.0,116.0,64840.0
1,87.0,32713.0,702230.0
2,56.0,271.0,11439579.40625
1,150.0,296.0,79101.0
1,49.0,52858.75,9536786.875
0,43.0,112.0,2752.0
2,48.0,76.0,7883135.125
0,50.0,113.0,34544.0
0,25.0,91.0,14537.0
2,105.0,99.0,2550880.0
0,29.0,121.0,855036.25
1,81.0,28498.0,5302490.25
0,39.0,146.0,29653.0
0,75.0,13449.0,15700.0
2,50.0,127.0,7827425.875
0,44.0,119.0,996714.0
1,124.0,9008.0,88103.0
1,127.0,48323.0,189058.25
0,78.0,60.0,170203.25
2,50.0,107.0,3455554.25
0,50.0,67.0,169800.0
2,50.0,15.0,4238012.25
1,194.5,22727.5,603972.0
0,35.0,7375.0,23396.0
2,50.0,124.0,7738095.875
1,110.0,48927.5,3018990.25
0,38.0,95.0,125766.0
0,24.0,1916.0,18888.0
2,33.0,106.0,4916860.0
0,50.0,7770.0,1154.0
1,194.5,5226.0,228532.25
0,93.0,170.0,356754.0
1,46.0,29432.0,71737.0
0,31.0,4871.0,12359.0
0,50.0,128.0,1592796.0
0,50.0,106.0,15738.0
0,37.0,97.0,2660.0
1,89.0,18641.0,1407282.0
0,124.0,1102.0,161717.0
0,41.0,102.0,3192074.0
0,56.0,511.0,10640.0
0,30.0,88.0,818593.0
0,100.0,144.0,1530343.0
0,41.0,4504.0,17168.0
0,50.0,73.0,563322.0
0,14.0,87.0,117175.0
2,50.0,110.0,6573425.0
0,50.0,95.0,1863631.0
0,50.0,129.0,2846766.0
2,60.0,227.0,11439579.40625
1,74.0,22130.0,1244720.0
1,58.0,52637.25,7760799.875
0,61.0,2636.0,242260.0
0,85.0,159.0,173593.0
2,59.0,87.0,3539853.0
2,41.0,99.0,7883135.125
0,50.0,112.0,1168141.0
0,114.0,332.0,84272.0
0,27.0,87.0,852253.0
0,27.0,16840.0,171303.25
1,194.5,35571.5,7327328.5
0,50.0,122.0,578431.0
2,109.0,19336.5,7125846.0
0,50.0,98.0,49506.0
0,48.0,132.0,89999.0
